flight,microhabitat,ME,MAE,MSE,model_size
Zeelim_23.9.19_0610_1,all,-0.2605484426021576,0.5279870629310608,0.4766682982444763,81
Zeelim_23.9.19_0610_1,shade,-1.0215319395065308,1.0983611345291138,1.826353669166565,81
Zeelim_23.9.19_0610_1,open,-0.21585160493850708,0.4944857954978943,0.3973936140537262,81
Zeelim_23.9.19_0610_2,all,-0.15327171981334686,0.5953667163848877,0.6347165703773499,81
Zeelim_23.9.19_0610_2,shade,-0.5801159739494324,0.8602418303489685,1.3769437074661255,81
Zeelim_23.9.19_0610_2,open,-0.0657895877957344,0.5410802364349365,0.48259636759757996,81
Zeelim_23.9.19_0610_3,all,-0.21546757221221924,0.6533937454223633,0.6511130928993225,81
Zeelim_23.9.19_0610_3,shade,-0.731864333152771,0.9053581953048706,1.1867796182632446,81
Zeelim_23.9.19_0610_3,open,-0.20036013424396515,0.6460224390029907,0.6354418992996216,81
Zeelim_23.9.19_0610_4,all,-0.11565204709768295,0.7461581826210022,0.9800206422805786,81
Zeelim_23.9.19_0610_4,shade,-0.17618413269519806,0.7377107739448547,0.9694907069206238,81
Zeelim_23.9.19_0610_4,open,-0.0764315202832222,0.7516316175460815,0.9868431687355042,81
Zeelim_23.9.19_0610_5,all,-0.13757377862930298,0.6213973164558411,0.6335023045539856,81
Zeelim_23.9.19_0610_5,shade,-0.18901237845420837,0.6764025688171387,0.7451961040496826,81
Zeelim_23.9.19_0610_5,open,-0.045661889016628265,0.5231122970581055,0.4339248538017273,81
Zeelim_23.9.19_0700_1,all,-0.15854895114898682,1.1920450925827026,2.1155214309692383,81
Zeelim_23.9.19_0700_1,shade,0.6560428738594055,1.0596622228622437,1.8050645589828491,81
Zeelim_23.9.19_0700_1,open,-1.3351908922195435,1.383266568183899,2.563962459564209,81
Zeelim_23.9.19_0700_2,all,-0.2582699954509735,0.6372480392456055,0.7005375027656555,81
Zeelim_23.9.19_0700_2,shade,-0.8987282514572144,1.119179368019104,1.9265755414962769,81
Zeelim_23.9.19_0700_2,open,-0.2548203766345978,0.6346521973609924,0.6939338445663452,81
Zeelim_23.9.19_0700_3,all,-0.05626020208001137,1.1839990615844727,2.2166450023651123,81
Zeelim_23.9.19_0700_3,shade,0.8425791263580322,1.2490694522857666,2.4232795238494873,81
Zeelim_23.9.19_0700_3,open,-0.5399057865142822,1.1489859819412231,2.105459213256836,81
Zeelim_23.9.19_0700_4,all,-0.2507544159889221,0.5656247138977051,0.5240277647972107,81
Zeelim_23.9.19_0700_4,shade,0.5482358932495117,1.1642869710922241,1.7918587923049927,81
Zeelim_23.9.19_0700_4,open,-0.2614568769931793,0.5576056838035583,0.5070452094078064,81
Zeelim_23.9.19_0700_5,all,-0.300506591796875,0.6189749836921692,0.6449388861656189,81
Zeelim_23.9.19_0700_5,shade,-0.26704949140548706,0.8919454216957092,1.3082258701324463,81
Zeelim_23.9.19_0700_5,open,-0.301196426153183,0.6133466362953186,0.6312626004219055,81
Zeelim_23.9.19_0800_1,all,-0.35041555762290955,0.7829908728599548,0.9855454564094543,81
Zeelim_23.9.19_0800_1,shade,0.8228710293769836,2.195348024368286,6.698400974273682,81
Zeelim_23.9.19_0800_1,open,-0.3535018265247345,0.77927565574646,0.9705179333686829,81
Zeelim_23.9.19_0800_2,all,-0.1544015109539032,1.1387736797332764,2.138455390930176,81
Zeelim_23.9.19_0800_2,shade,0.6924253702163696,1.7106932401657104,4.42708683013916,81
Zeelim_23.9.19_0800_2,open,-0.19667018949985504,1.1102266311645508,2.0242204666137695,81
Zeelim_23.9.19_0800_3,all,-0.1786852478981018,0.7607387900352478,0.9597952365875244,81
Zeelim_23.9.19_0800_3,shade,-0.5302493572235107,1.0942704677581787,1.97645902633667,81
Zeelim_23.9.19_0800_3,open,-0.17508184909820557,0.7573202252388,0.949374794960022,81
Zeelim_23.9.19_0800_4,all,-0.3597632646560669,1.6592676639556885,3.7161478996276855,81
Zeelim_23.9.19_0800_4,shade,1.8950493335723877,2.246105432510376,6.088449954986572,81
Zeelim_23.9.19_0800_4,open,-0.87868732213974,1.5242127180099487,3.170185089111328,81
Zeelim_23.9.19_0800_5,all,-0.21556925773620605,1.608736276626587,3.953932762145996,81
Zeelim_23.9.19_0800_5,shade,2.330857276916504,2.682191848754883,8.755072593688965,81
Zeelim_23.9.19_0800_5,open,-0.9388229250907898,1.3038458824157715,2.590280055999756,81
Zeelim_23.9.19_0950_1,all,0.2034492790699005,1.6259979009628296,4.0447001457214355,81
Zeelim_23.9.19_0950_1,shade,3.2440996170043945,3.829346179962158,17.627777099609375,81
Zeelim_23.9.19_0950_1,open,0.17093610763549805,1.6024378538131714,3.899458169937134,81
Zeelim_23.9.19_0950_2,all,0.2530096471309662,1.5916281938552856,4.340829372406006,81
Zeelim_23.9.19_0950_2,shade,3.026301383972168,3.378300905227661,17.309932708740234,81
Zeelim_23.9.19_0950_2,open,0.18566815555095673,1.5482439994812012,4.025911331176758,81
Zeelim_23.9.19_0950_3,all,-0.03341132402420044,0.8298628926277161,1.1143375635147095,81
Zeelim_23.9.19_0950_3,shade,0.07572703063488007,1.9516781568527222,5.09162712097168,81
Zeelim_23.9.19_0950_3,open,-0.03341672942042351,0.8298074007034302,1.1141406297683716,81
Zeelim_23.9.19_0950_4,all,-0.06944012641906738,0.9151577353477478,1.389245867729187,81
Zeelim_23.9.19_0950_4,shade,0.5331975221633911,1.640323519706726,4.462794303894043,81
Zeelim_23.9.19_0950_4,open,-0.07090480625629425,0.9133952856063843,1.381775975227356,81
Zeelim_23.9.19_0950_5,all,-0.03737078234553337,1.1788136959075928,2.1636011600494385,81
Zeelim_23.9.19_0950_5,shade,-0.6827172040939331,1.7049312591552734,3.7340519428253174,81
Zeelim_23.9.19_0950_5,open,-0.037274233996868134,1.1787350177764893,2.1633660793304443,81
Zeelim_23.9.19_1410_1,all,-0.28568345308303833,0.8485249876976013,1.2394250631332397,81
Zeelim_23.9.19_1410_1,shade,0.5288929343223572,1.3449985980987549,2.635270833969116,81
Zeelim_23.9.19_1410_1,open,-0.28633248805999756,0.848129391670227,1.2383129596710205,81
Zeelim_23.9.19_1410_2,all,0.12320336699485779,1.2380340099334717,2.4270808696746826,81
Zeelim_23.9.19_1410_2,shade,2.154096841812134,2.637645721435547,8.893214225769043,81
Zeelim_23.9.19_1410_2,open,0.11272850632667542,1.230815052986145,2.3937299251556396,81
Zeelim_23.9.19_1410_3,all,0.3544551432132721,1.1822718381881714,2.0451743602752686,81
Zeelim_23.9.19_1410_3,shade,0.15785270929336548,1.7833034992218018,5.074166774749756,81
Zeelim_23.9.19_1410_3,open,0.35463815927505493,1.1817121505737305,2.0423548221588135,81
Zeelim_23.9.19_1410_4,all,-0.3152655065059662,0.7817249894142151,1.0307666063308716,81
Zeelim_23.9.19_1410_4,shade,-0.7815247774124146,1.168099284172058,2.1265170574188232,81
Zeelim_23.9.19_1410_4,open,-0.3151123523712158,0.7815981507301331,1.0304065942764282,81
Zeelim_23.9.19_1410_5,all,-0.18288448452949524,1.8564430475234985,5.723362445831299,81
Zeelim_23.9.19_1410_5,shade,4.4609904289245605,4.544146537780762,25.203845977783203,81
Zeelim_23.9.19_1410_5,open,-0.5644939541816711,1.635581374168396,4.122557640075684,81
Zeelim_23.9.19_1510_1,all,-0.37626442313194275,0.9338769316673279,1.7079498767852783,81
Zeelim_23.9.19_1510_1,shade,0.30843597650527954,1.4729493856430054,3.5443806648254395,81
Zeelim_23.9.19_1510_1,open,-0.3877103626728058,0.9248654842376709,1.6772505044937134,81
Zeelim_23.9.19_1510_2,all,-0.24701443314552307,0.836291491985321,1.347665548324585,81
Zeelim_23.9.19_1510_2,shade,-0.721055805683136,1.4438812732696533,3.2490787506103516,81
Zeelim_23.9.19_1510_2,open,-0.24591054022312164,0.834876537322998,1.3432376384735107,81
Zeelim_23.9.19_1510_3,all,-0.19668611884117126,1.6321635246276855,4.531235218048096,81
Zeelim_23.9.19_1510_3,shade,2.7624733448028564,3.1075899600982666,12.530728340148926,81
Zeelim_23.9.19_1510_3,open,-0.5981857180595398,1.431977391242981,3.445862054824829,81
Zeelim_23.9.19_1510_4,all,-0.08276841789484024,1.0993901491165161,1.985297441482544,81
Zeelim_23.9.19_1510_4,shade,0.47146281599998474,2.1859495639801025,6.520944118499756,81
Zeelim_23.9.19_1510_4,open,-0.0871569812297821,1.0907864570617676,1.9493827819824219,81
Zeelim_23.9.19_1510_5,all,-0.41351401805877686,0.8024953007698059,1.1420276165008545,81
Zeelim_23.9.19_1510_5,shade,-1.119887113571167,1.4676331281661987,3.2614829540252686,81
